nums/length_username,fullnameWords,nums/length_fullname,name==username,descriptionLength,external URL,private,#posts,#followers,#follows
0.0,2,0.0,0,12,0,0,8.0,576.0,6296.0
0.0,2,0.0,0,1,0,0,159.0,1073.0,2095.0
0.0,3,0.0,0,7,0,0,17.0,336.0,674.0
0.0,4,0.0,0,21,1,0,629.0,3003.0,174.0
0.0,2,0.0,0,18,0,0,637.0,1328.0,7495.0
0.0,3,0.0,0,20,1,0,16.0,141.0,599.0
0.15384615384615385,2,0.0,0,1,0,0,74.0,1295.0,6378.0
0.07692307692307693,2,0.0,0,4,0,1,9.0,395.0,382.0
0.0,1,0.0,1,11,0,1,58.0,870.0,1300.0
0.2222222222222222,1,0.0,0,14,0,0,42.0,302.0,520.0
0.0,4,0.0,0,8,1,0,115.0,157.0,609.0
0.0,2,0.0,0,14,0,0,5.0,597.0,1261.0
0.0,3,0.0,0,24,1,0,6.0,270.0,2316.0
0.0,3,0.0,0,22,1,0,1377.0,1821.0,7407.0
0.0,2,0.0,0,22,1,0,41.0,1496.0,3078.0
0.0,2,0.0,0,17,1,0,39.0,298.0,804.0
0.0,3,0.0,0,20,1,0,1846.0,153931.0,7499.0
0.0,2,0.0,0,18,0,1,188.0,451.0,7500.0
0.0,6,0.0,0,19,1,0,496.0,802.0,843.0
0.0,3,0.0,0,21,0,0,3.0,200.0,519.0
0.0,2,0.0,0,1,1,0,6.0,84.0,193.0
0.0,2,0.0,0,1,0,1,336.0,256.0,2442.0
0.0,5,0.0,0,14,1,0,413.0,2622.0,639.0
0.0,2,0.0,0,10,0,0,30.0,391.0,1385.0
0.0,1,0.0,0,4,1,0,9.0,754.0,531.0
0.0,2,0.0,0,8,0,1,45.0,1269.0,4545.0
0.0,2,0.0,0,22,0,1,162.0,922.0,2104.0
0.0,2,0.0,0,9,1,0,478.0,1423.0,1316.0
0.0,2,0.0,0,19,0,1,80.0,1211.0,1540.0
0.0,2,0.0,0,15,0,0,19.0,308.0,345.0
0.0,2,0.0,0,28,0,1,164.0,899.0,789.0
0.0,3,0.0,0,15,0,0,225.0,6399.0,849.0
0.0,1,,0,1,0,1,0.0,28.0,608.0
0.0,2,0.0,0,14,0,1,113.0,1006.0,972.0
0.0,2,0.0,0,19,1,1,58.0,1145.0,1301.0
0.0,1,0.0,0,15,1,0,1728.0,10787.0,5407.0
0.0,6,0.0,0,16,1,0,180.0,656.0,835.0
0.0,3,0.0,0,10,0,1,677.0,2136.0,1020.0
0.08333333333333333,1,0.0,0,4,0,0,30.0,352.0,3120.0
0.0,2,0.0,0,10,1,0,65.0,137.0,2035.0
0.0,4,0.0,0,14,1,0,133.0,606.0,1770.0
0.0,1,0.0,0,10,1,0,93.0,19129.0,5537.0
0.13333333333333333,1,0.3333333333333333,0,1,0,0,2.0,11.0,213.0
0.3333333333333333,2,0.0,0,1,0,0,15.0,111.0,5255.0
0.0,2,0.0,0,18,1,0,1430.0,8956.0,5874.0
0.0,2,0.0,0,17,0,1,233.0,365.0,2148.0
0.0,1,0.0,0,20,1,0,217.0,959.0,1219.0
0.0,2,0.0,0,19,1,0,60.0,3363.0,1919.0
0.0,3,0.0,0,14,0,0,121.0,2557.0,6556.0
0.0,3,0.0,0,19,1,0,444.0,2611.0,1308.0
0.0,1,0.0,0,11,1,0,69.0,989.0,1327.0
0.11764705882352941,1,0.0,0,1,0,1,55.0,1903.0,7103.0
0.0,3,0.0,0,1,0,0,1.0,196.0,1026.0
0.0,2,0.0,0,26,0,0,81.0,527.0,1058.0
0.16666666666666666,3,0.0,0,1,0,1,492.0,244.0,2093.0
0.0,4,0.0,0,25,1,0,135.0,1024.0,1525.0
0.07142857142857142,2,0.0,0,29,0,0,563.0,993.0,7335.0
0.0,3,0.0,0,14,1,0,523.0,2119.0,333.0
0.0,4,0.0,0,16,1,0,270.0,535.0,464.0
0.0,3,0.0,0,12,1,0,508.0,341.0,204.0
0.0,4,0.0,0,25,1,0,2576.0,20896.0,6537.0
0.0,3,0.0,0,17,0,1,1916.0,1130.0,1487.0
0.0,2,0.0,0,17,1,0,30.0,104.0,45.0
0.0,4,0.0,0,17,1,0,311.0,3829.0,4409.0
0.0,4,0.0,0,1,0,1,0.0,1822.0,1228.0
0.0,4,0.0,0,13,1,0,179.0,162.0,272.0
0.1111111111111111,1,0.1111111111111111,1,1,0,0,97.0,392.0,391.0
0.0,2,0.0,0,15,0,1,613.0,769.0,3246.0
0.0,2,0.0,0,24,0,0,10.0,51.0,30.0
